iso_code,tot_case,tot_case_new,tot_case_new_mean,tot_deaths,tot_deaths_new,tot_deaths_new_mean,recoveries,recoveries_new,recoveries_new_mean,total_cases_per_million,total_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,population,mobility_outside_res,stringencyindex
"KNA",17,0,0,0,0,0,17,0,0,319.597,0,,,,53192,,
"KOR",16346,288,225.1429,307,1,.2857143,14063,57,35.14286,313.21,5.968,1684042,12219,32.847,51269184,13,56.02
"KWT",78145,675,622.8571,507,2,2.571429,69771,528,617.1429,18140.46,118.251,573251,4811,134.233,4270563,-28.4,68.52
"LAO",22,0,.2857143,0,0,0,19,0,0,2.749,0,,,,7275556,-12.4,26.85
"LBN",10347,589,419.1429,109,2,2.857143,2928,76,74.42857,1367.97,15.384,,,,6825442,-15.2,24.07
"LBR",1282,0,4.285714,82,0,0,803,0,9.285714,253.476,16.213,,,,5057677,,67.59
"LBY",9463,395,407.4286,169,5,5.285714,1018,15,34.28571,1248.529,22.849,,,,6871287,8.6,87.96
"LCA",26,0,.1428571,0,0,0,25,0,0,141.59,0,,,,183629,,
"LIE",98,1,1.142857,1,0,0,88,0,.1428571,2543.462,26.221,,,,38137,-9.6,
"LKA",2902,0,3,11,0,0,2760,5,17.42857,135.524,.514,,,,21413250,-3,50
"LSO",946,0,21.14286,30,0,.8571429,271,0,13.71429,441.591,14.004,,,,2142252,,71.3
"LTU",2496,22,26.71428,81,0,0,1739,6,8,908.793,29.754,589505,4864,216.547,2722291,56,19.44
"LUX",7566,67,38,124,0,.2857143,6813,60,78.71429,11979.69,198.091,464183,1977,741.535,625976,23.8,22.22
"LVA",1326,3,3.285714,33,0,.1428571,1093,0,2.142857,701.409,17.495,230921,2163,122.426,1886202,72.4,43.52
"MAR",46313,1510,1374.143,743,29,26.71428,31576,574,842.7143,1180.096,18.45,1670569,21841,45.26,36910560,-14.4,70.37
"MCO",148,0,1,4,0,0,114,0,0,3771.277,101.926,,,,39244,,
"MDA",31415,626,388.2857,914,6,7.285714,21885,0,269.5714,7632.445,225.089,,,,4033963,8.6,57.41
"MDG",14074,65,96.71429,173,0,2.428571,12921,154,198.8571,505.904,6.248,,,,27691020,,65.74
"MDV",6225,146,122.7143,24,0,.4285714,3788,140,129.1429,11246.12,44.4,99300,1125,183.705,540542,,
"MEX",537031,5792,5521.571,58481,707,545,438375,4566,5313.286,4120.28,448.094,1124122,1965,8.719,128932752,-22.6,70.83
"MKD",13076,106,122.7143,551,2,3,9625,112,162.5714,6180.822,263.034,,,,2083380,12.4,
"MLI",2667,1,12.14286,125,0,0,1993,3,2.285714,131.649,6.173,,,,20250834,-5.8,47.22
"MLT",1470,47,46,9,0,0,784,18,17.42857,2994.073,20.383,163308,2261,369.861,441539,-3.8,
"MMR",394,18,4.714286,6,0,0,333,2,2.142857,6.966,.11,134035,1736,2.463,54409792,-6.4,74.07
"MNE",4174,42,51.57143,80,0,1,3127,92,69.85714,6578.968,127.376,,,,628062,,
"MNG",298,0,.1428571,0,0,0,281,0,1.714286,90.901,0,,,,3278292,36.8,49.07
"MOZ",3045,54,69.42857,19,0,0,1291,46,48.57143,93.232,.608,,,,31255436,-10.4,75
"MRT",6829,40,29.57143,158,1,.1428571,6094,43,50.42857,1460.107,33.766,,,,4649660,,29.63
"MUS",346,0,.2857143,10,0,0,334,0,0,272.062,7.863,,,,1271767,-15.4,16.67
"MWI",5240,47,69.71429,164,1,1.714286,2857,141,46.85714,271.459,8.521,,,,19129956,,60.19
"MYS",9235,16,17.28572,125,0,0,8925,23,15.42857,284.836,3.862,1141679,12588,35.274,32365998,-15.8,57.41
"NAM",4665,201,179.8571,39,2,2.428571,2426,19,227.2857,1756.847,14.562,,,,2540916,-31.8,60.19
"NER",1167,0,.8571429,69,0,0,1079,0,.5714286,48.21,2.85,,,,24206636,5.6,13.89
"NGA",50488,593,392.1429,985,4,4.142857,37304,253,480.1429,242.045,4.759,363331,8135,1.763,206139584,-2.8,69.44
"NIC",4311,0,28,133,0,.7142857,2913,0,0,650.761,20.077,,,,6624554,-18,16.67
"NLD",66218,658,642.8571,6204,7,3.142857,448,26,27.85714,3729.879,359.851,1312787,,76.615,17134872,20.2,39.81
"NOR",10162,51,54.14286,262,0,.8571429,8857,0,0,1855.663,48.328,567646,9071,104.708,5421242,27.8,34.26
"NPL",28938,681,643.7143,120,6,4.142857,17700,120,138.8571,969.804,3.913,554388,11522,19.027,29136808,-34.4,87.96
"NZL",1654,5,9.285714,22,0,0,1531,0,0,269.377,4.562,657506,18091,136.349,4822233,-29.2,68.98
"OMN",83606,188,186.7143,603,6,9.142858,78188,211,159.4286,16335.26,116.907,,2682,,5106622,-29.6,86.11
"OTHERS",29872,300,506.8571,524,6,9,18306,373,461.1429,,,,,,,,
"PAK",290445,613,646.2857,6201,11,10.28571,272128,2139,1276.429,1312.096,28.023,2340072,22859,10.594,220892336,-5.6,40.74
"PAN",83754,964,911,1827,18,17.71428,58274,1083,953.8571,19187.59,419.258,262275,2692,60.785,4314768,-81.4,80.56
"PER",549321,7828,8520.143,26658,177,736.7143,377453,3434,5073.571,16660.3,808.508,472683,8488,14.336,32971846,-85.8,81.48
"PHL",173774,4561,4289.286,2795,108,55.85714,113481,620,6354.857,1544.181,24.521,1948932,25312,17.785,109581088,-44.8,79.63
"PNG",347,0,10.85714,3,0,0,110,0,4.571429,38.784,.335,,,,8947027,7.8,43.52
"POL",58611,735,705,1913,17,11.85714,40099,456,355.4286,1529.226,50.097,2333126,27734,61.647,37846604,55.8,39.81
"PRI",,,,,,,,,,,,,,,,-40.2,67.59
"PRT",54701,253,211.1429,1786,2,3.142857,40129,193,169.8571,5339.763,174.958,1799226,15899,176.452,10196707,4,65.28
"PRY",11133,527,445,165,4,10.28571,6582,180,171.1429,1486.99,22.573,151427,2078,21.23,7132530,-25,78.7
"QAT",115956,295,288.2857,193,0,.4285714,112658,303,290.1429,40145.29,66.989,566013,5023,196.46,2881060,-2.4,77.78
"REU",,,,,,,,,,,,,,,,-13.6,
"ROU",73617,1409,1205.714,3106,32,42.71429,33566,431,359.7143,3753.467,159.791,1566632,24538,81.436,19237682,10.4,45.37
"RUS",935066,4790,4903,15951,115,102.8571,747802,6757,5557.429,6389.807,108.761,33500000,291805,229.619,145934464,19.8,62.5
"RWA",2644,67,65,10,0,.2857143,1698,15,24.85714,198.962,.772,334270,4796,25.808,12952209,-11.4,75.93
"SAU",302686,1363,1378.429,3506,36,33.85714,274091,1180,2403.143,8655.545,99.673,4439484,61067,127.521,34813868,-20.6,60.19
"SDN",12546,61,73.28571,808,3,3.142857,6429,31,21,284.725,18.358,,,,43849268,,69.91
"SEN",12446,141,122.7143,258,2,2.285714,7877,110,50.57143,734.893,15.289,137194,1463,8.194,16743930,-16.2,32.41
"SGP",56031,93,90.85714,27,0,0,52810,277,327.1429,9561.491,4.615,731313,,125.003,5850343,-14.4,51.85
"SLE",1961,2,3.428571,69,0,0,1531,2,6.857143,245.582,8.65,,,,7976985,,32.41
"SLV",23717,255,296.1429,633,8,8,11388,209,190.2857,3617.218,97.592,280943,2498,43.314,6486201,-41.6,89.81
"SMR",704,2,.7142857,42,0,0,657,0,0,21185.69,1237.551,,,,33938,,33.33
"SOM",3265,8,5.428571,93,0,0,2396,22,95.42857,204.93,5.852,,,,15893219,,13.89
"SRB",30048,158,185.2857,684,3,3.714286,0,0,0,4392.619,100.079,831677,10571,122.223,6804596,8.6,45.37
"SSD",2494,4,2.428571,47,0,0,1290,115,16.42857,222.446,4.199,,,,11193729,,81.48
"STP",885,0,.4285714,15,0,0,826,5,2.714286,4038.127,68.443,,,,219161,,
"SUR",3295,79,91.71429,54,0,2.142857,2227,31,62.57143,5482.123,92.051,,,,586634,,79.63
"SVK",3022,100,47.42857,33,2,.2857143,1997,17,16.14286,535.2,5.678,300586,3684,55.056,5459643,31.6,35.19
"SVN",2493,37,27.14286,129,0,0,2079,27,17,1181.376,59.646,145723,1168,70.095,2078932,33.2,43.52
"SWE",85411,192,279.4286,5802,12,4,0,0,0,8438.135,573.309,,8070,,10099270,56.2,37.04
"SWZ",4058,69,76.14286,79,3,2.285714,2611,24,100.1429,3438.307,65.508,,,,1160164,,80.56
"SYC",132,5,.7142857,0,0,0,126,0,0,1291.438,0,,,,98340,,27.78
"SYR",1927,83,85.71429,78,5,3.571429,445,20,8.571428,100.796,3.886,,,,17500656,,61.11
"TCD",971,1,3.142857,76,0,0,868,3,1.285714,59.053,4.627,,,,16425859,,64.81
"TGO",1190,17,14,27,0,.1428571,875,7,13.28571,141.688,3.261,51889,763,6.268,8278737,-1.6,45.37
"THA",3382,0,3.714286,58,0,0,3199,0,4.285714,48.453,.831,399394,2118,5.722,69799976,-13,49.07
"TJK",8166,35,36.28571,65,0,.2857143,6971,36,39.28571,852.517,6.815,,,,9537642,2.4,36.11
"TLS",25,0,0,0,0,0,25,1,.1428571,18.962,0,,,,1318442,,26.85
"TTO",686,57,51.42857,12,0,.5714286,140,0,.1428571,449.449,8.575,,,,1399491,-11,60.19
"TUN",2427,113,92.42857,60,3,1.142857,1395,25,16.71428,184.878,4.738,112048,1404,9.481,11818618,,24.07
"TUR",253108,1303,1245.143,6039,23,21.14286,233915,1002,975.1429,2985.627,71.331,5882406,82318,69.747,84339064,8.8,48.15
"TWN",486,0,.7142857,7,0,0,457,7,1,20.406,.294,85349,222,3.584,23816776,4,19.44
"TZA",509,0,0,21,0,0,183,0,0,8.521,.352,,,,59734212,.6,27.78
"UGA",1656,53,46.28571,16,1,1,1188,23,7,35.045,.328,333667,4125,7.295,45741000,-15,77.78
"UKR",98658,2005,1736.286,2182,30,26.14286,51358,850,610.5714,2159.339,48.384,1335000,19591,30.526,43733760,16,54.17
"URY",1493,8,14.28571,40,0,.4285714,1228,9,9.285714,427.495,11.515,152121,4527,43.792,3473727,-24.8,22.22
"USA",5529824,47408,47487.57,173177,1356,1020.429,1925049,26890,24469.86,16563.06,519.093,68900000,680934,208.291,331002656,-2.8,68.98
"UZB",37112,760,636.8571,248,6,5.285714,32944,882,1040.714,1098.323,7.32,,,,33469200,,74.07
"VAT",12,0,0,0,0,0,12,0,0,14833.13,0,,,,809,,
"VCT",58,0,.1428571,0,0,0,56,1,.5714286,522.772,0,,,,110947,,
"VEN",36868,1171,1111.429,303,6,8,25416,855,624.8571,1255.348,10.445,,,,28435944,-27,86.11
"VNM",994,5,15.85714,25,0,1.142857,533,7,17.71428,10.16,.257,261004,778,2.681,97338584,-14.4,81.02
"YEM",1892,3,7.285714,539,2,1.571429,1055,3,16.85714,63.233,17.971,,,,29825968,12.8,31.48
"ZAF",596060,3916,3877.286,12423,159,201.8571,491441,5973,8487.429,9984.102,206.783,3455671,25324,58.266,59308688,-24,80.56
